UBQLN4	STARD5
CREB1	PACRG
SUPT4H1	HPSE
SLC12A4	LRP5L
CSGALNACT2	HLTF
PRPS2	ZNF253
ARPC5	RNF103	COMMD10
PTS	TAS2R1
CXCR2	NUMB	CREBBP
GOLGA7	WTAP	LAMTOR3
STK38	CXorf40A	PREP	NPRL2	WDR37
CYP4F3	RFC5
GAB2	ZNF281	MYO5A
SNCA	PDGFRA	CAMK1G
ARPC3	HOMER1
SELPLG	NCKIPSD
BLCAP	DDX27	TRIM27	ERCC1
WDR47	SAV1
CPQ	PI3	SLPI
PARP12	AA861608
FCGR2A	DEDD	SIRPB1
LOC649330	EHD4
MAVS	CCL7
TBC1D30	TRMT44
TEX30	FLJ42627
CHP1	PGM1
KRT23	RPL23AP32
MAP3K5	OPHN1	213813_x_at	213826_s_at	PHACTR2
RNF130	CD163
CDC123	MMP7
CTNNA1	RTN1
FAM188A	TRIAP1
SAP130	TAF6
NCF1C	SAFB2
RP2	KIAA1109
MME	TOX4
TCIRG1	SH3BP4
NEDD8	COPS8
RPL22	XIST
C6orf62	NUP107	OFD1
NKG7	GGA1
STK24	VPS4A
MLF2	CDC42EP2
LDHB	C6orf48
ACTN4	IL27RA
RAB1A	ZNF143	AKTIP
SPTB	TNFRSF11B
OSBPL11	DYRK1A
RUNDC3A	ALG3
SCAF4	SH3D19
AZIN1	XYLT1
CORO1C	UVRAG
ANXA1	MRPL3
TSPYL4	TIMM9	MAGT1
RPL10	PRDM4
B4GALT3	POLR1C	LOC100510678
SNRK	CHSY1
NFIL3	CYP4F2
VPS28	ARFGAP2
PLSCR3	YARS
TMEM127	SLBP	CSAD
CAST	TMCO6	PLEKHO2
RPL5	CDC23	IK
SLC38A2	LAMTOR3	WTAP
