SUPT7L	DCTD	ITGB1
TNIK	CCR8
LRP2	TNFSF14	LRRC40	GADD45G	BTG1
CTAG2	RIC8B	SAR1A	FUBP3	NIN
MKRN1	HBG2	ALDH5A1
GIPR	FER
TM4SF20	AK025180	OR1E1
MED21	F13B
GRM7	PYGO1	SMN2
AA129909	SSR2	SAR1A
FHL2	EPB41L4B
RPS27A	PLXNA2
SCN9A	MFN1
APC2	GNRHR
CNTNAP1	TGM2	EFNB1
DCTN4	NSUN3
MRPL57	CCDC88C
MYH1	POLR2K
RPS5	TMEM147
SOCS5	GRK1
TTLL3	KLF13
PROCR	TLK1	PCNP
EBI3	AW973791	NAGLU	LOC100293561
ASCL3	BCKDHB
MMP24	ZNF45
ARHGAP33	ITPKA	BAI1
ZNF764	CYP2B6
FABP3P2	ACTC1
GCFC2	FLRT2
RPL41	WDR83OS
FFAR3	AI263044	KIF22
MXRA7	ERH
FKRP	XIAP	GCSHP5	ATP8B3	RNF2
OPN1MW2	AVEN	PCDHA3
PTENP1	SLCO4A1
FUT1	AL050145
EEF1A1P9	C11orf71	MAP3K8
